iter	Passed	Remaining
417	2648	1787
418	2655	1780
419	2661	1774
420	2667	1767
421	2673	1761
422	2681	1755
423	2688	1749
424	2695	1743
425	2700	1737
426	2707	1730
427	2713	1724
428	2720	1718
429	2727	1712
430	2734	1706
431	2740	1700
432	2746	1693
433	2753	1687
434	2759	1681
435	2765	1674
436	2771	1668
437	2778	1662
438	2785	1656
439	2791	1649
440	2798	1643
441	2804	1637
442	2811	1630
443	2817	1624
