iter	Logloss
118	0.4992257435
119	0.4991741981
120	0.4991207026
121	0.4990818757
122	0.4989547018
123	0.498791293
124	0.4986462796
125	0.4985664379
126	0.4985238826
127	0.4984107764
128	0.4983377995
129	0.4982750435
130	0.4982263621
131	0.4981627387
132	0.4980939432
133	0.497974794
134	0.4979736817
135	0.4979072115
136	0.4978622806
137	0.4977612374
138	0.4976611278
139	0.4975997377
140	0.4975169783
141	0.4975141013
142	0.497425879
143	0.4973697755
144	0.4973469981
145	0.497308019
146	0.4972904742
147	0.4972785776
148	0.497237893
149	0.4972366971
150	0.4972348625
151	0.4971756868
152	0.4971752987
153	0.497173232
154	0.4971274952
155	0.4971214473
156	0.4970228888
157	0.4969976856
158	0.496969176
159	0.4969055662
160	0.4967983876
161	0.4967073376
162	0.496619098
163	0.4966047029
164	0.4966040494
165	0.4966038784
166	0.4966003829
167	0.4965980745
168	0.4965470946
169	0.496506217
170	0.4964960205
171	0.4964279359
172	0.4963453588
173	0.4962929273
174	0.4962016001
175	0.496155166
176	0.4961510478
177	0.4961479561
178	0.4961327922
179	0.4961317691
180	0.4960890065
181	0.4960093842
182	0.4960093805
183	0.4960056584
184	0.4959260726
185	0.4958960988
186	0.4958571928
187	0.4958546812
188	0.4958504801
189	0.495849585
190	0.4958467411
191	0.4958422852
192	0.4957747362
193	0.4957204237
194	0.4956934615
195	0.4956896454
196	0.4956376055
197	0.4956263746
198	0.4956247055
199	0.4956245561
200	0.4956199571
201	0.495615969
202	0.495608224
203	0.4956063585
204	0.4956060265
205	0.4955121325
206	0.4955120754
207	0.4954999907
208	0.4954923224
209	0.4954880533
210	0.4954844835
211	0.4954829731
212	0.4954814461
213	0.4954712431
214	0.4954711968
215	0.4954156501
216	0.4954119735
217	0.4954059378
218	0.4953405684
219	0.4953390522
220	0.4953346061
221	0.4953329836
222	0.4953326905
223	0.4953318806
224	0.4952424154
225	0.4952419841
226	0.4952379977
227	0.4952370771
228	0.4952370482
229	0.4951973974
230	0.4951965442
231	0.4951744106
232	0.4950756998
233	0.4950755795
234	0.4950543475
235	0.494976706
236	0.4949766215
237	0.4949753533
238	0.4949699859
239	0.4949692061
240	0.4949652368
241	0.4949640444
242	0.494936755
243	0.4949279795
244	0.4949258838
245	0.494925792
246	0.4949190784
247	0.4948628455
248	0.494858083
249	0.4948495399
250	0.4948493436
251	0.4947723657
252	0.4947700824
253	0.4947700716
254	0.4947614144
255	0.4946707143
256	0.4946698276
257	0.4946654548
258	0.4946638899
259	0.4946631128
260	0.4946553016
261	0.4946529668
262	0.4946427718
263	0.4946419072
264	0.4946290839
265	0.4946258484
266	0.4946249043
267	0.4945498345
268	0.4944517993
269	0.4944473333
270	0.4943669354
271	0.4943614954
272	0.4943609759
273	0.4943551072
274	0.4943239589
275	0.4943221057
276	0.4943190732
277	0.4941681959
278	0.4940905146
279	0.49409024
280	0.4940880019
281	0.494087631
282	0.4940142215
283	0.4939911311
284	0.4939911128
285	0.4939849002
286	0.4939143748
287	0.4939118003
288	0.4939042348
289	0.4939042148
290	0.4938749469
291	0.4938313768
292	0.4938285521
293	0.4938237234
294	0.4938129207
295	0.4937639565
296	0.4937637198
297	0.4937154437
298	0.4937144593
299	0.4937137113
300	0.4937128428
301	0.4937128159
302	0.4936820537
303	0.4936443433
304	0.4936420905
305	0.493563461
306	0.4935140379
307	0.4935129955
308	0.4935100737
309	0.4934795466
310	0.4934795284
311	0.4934714115
312	0.4934699718
313	0.4934588603
314	0.4933891088
315	0.4933883403
316	0.4933764946
317	0.4933197725
318	0.4933075503
319	0.4933050558
320	0.4933046192
321	0.493303779
322	0.493267043
323	0.4932620746
324	0.4932470904
325	0.4932428361
326	0.4932405932
327	0.4932374361
328	0.4932374351
329	0.4932028809
330	0.4932022844
331	0.4931813631
332	0.4931256265
333	0.4931170358
334	0.493072171
335	0.4930656775
336	0.49297152
337	0.4929381177
338	0.4929364537
339	0.4929322516
340	0.4929221961
341	0.4928485733
342	0.4928469151
343	0.4928413096
344	0.4927939366
345	0.49279022
346	0.4927866772
347	0.4927833173
348	0.4927630725
349	0.4927614048
350	0.4927589608
351	0.4927550407
352	0.4927521926
353	0.4927492652
354	0.4927473486
355	0.4927089439
356	0.4926985344
357	0.4926961254
358	0.4926747689
359	0.4926589119
360	0.4926577403
361	0.492648116
362	0.4926450668
363	0.4926396421
364	0.4926203639
365	0.492603757
366	0.4925993022
367	0.4925991386
368	0.4925679783
369	0.4925579898
370	0.492532345
371	0.4925295081
372	0.4925211297
373	0.4925173
374	0.4925114117
375	0.4925044178
376	0.4925033914
377	0.4924935818
378	0.4924873867
379	0.4924801049
380	0.4924733427
381	0.4924574328
382	0.4924501846
383	0.4924478577
384	0.4924456442
385	0.4924412898
386	0.4924384942
387	0.4923979719
388	0.4923917709
389	0.4923884527
390	0.4923790535
391	0.4923697398
392	0.4923601423
393	0.4923535471
394	0.492233275
395	0.4922276589
396	0.4922236284
397	0.4922217382
398	0.4921588842
399	0.4921563506
400	0.4921548626
401	0.4921477414
402	0.4921451456
403	0.4921347296
404	0.4921287419
405	0.4921265135
406	0.4921204659
407	0.4921192376
408	0.4921154392
409	0.4921067551
410	0.4920947051
411	0.4920920932
412	0.4920821391
413	0.4920804583
414	0.4920777537
415	0.4920719467
416	0.4919434225
417	0.4919423784
418	0.4919408268
419	0.4919376776
420	0.4919352762
421	0.491932716
422	0.4918903131
423	0.4918840002
424	0.4918732904
425	0.4918659925
426	0.4918535049
427	0.4918484264
428	0.491847094
429	0.4918415014
430	0.4918348449
431	0.4918307797
432	0.491823109
433	0.4918189964
434	0.4918083964
435	0.4917979549
436	0.4917893252
437	0.4917774964
438	0.4917154837
439	0.491707945
440	0.4917058719
441	0.491700198
442	0.4916970512
443	0.4916937461
